space,id,title,author,discussion,start,end,end_iso,state
lido-snapshot.eth,0x78bbc81011457ffcc0d2183de2a813869708d4f9996f4af3df8b669510950cf3,RockLogic Slashing Incident Staker Compensation,0x7FEa69d107A77B5817379d1254cc80D9671E171b,https://research.lido.fi/t/slashing-incident-involving-rocklogic-gmbh-validators-april-13-2023/4399/10,1682010540,1682614800,2023-04-27T17:00:00+00:00,closed
lido-snapshot.eth,0xac31f800288c68e32d1eb3cea7a525022faae3eb3bf805d1b3d248cda5375a13,Proposal to approve Lido DAO Treasury Management Principles and authorize the formation of a Treasury Management Committee,0x7FEa69d107A77B5817379d1254cc80D9671E171b,https://research.lido.fi/t/proposal-to-approve-lido-dao-treasury-management-principles-and-authorize-the-formation-of-a-treasury-management-committee/4279,1682010000,1682614800,2023-04-27T17:00:00+00:00,closed
lido-snapshot.eth,0x26fbac05c4ad7d5935e8ea7fe4eadbbdc1dd74e2ac023a26bc59391a6c560139,Increasing number of active Easy Track motions run simultaneously (restart),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/increasing-number-of-active-easy-track-motions-run-simultaneously/4075,1680880549,1681495200,2023-04-14T18:00:00+00:00,closed
lido-snapshot.eth,0xc017c451cd1ec85bf259d1f866844da296bb0f3209fd58297ccf07f7e91fa690,Retire Ethereum and Solana Referral Programs,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/retire-ethereum-and-solana-referral-programs/4243,1680880185,1681495200,2023-04-14T18:00:00+00:00,closed
lido-snapshot.eth,0xf589c15d2220e9d11a199232f6f8457f4896048bbd7c9523872fa4153e450a74,Validators on-boarding for Lido on Polygon (wave 2),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/announcement-onboarding-for-lido-on-polygon-wave-2/3747,1680879973,1681495200,2023-04-14T18:00:00+00:00,closed
lido-snapshot.eth,0x5471017e6278ea5fa64c471ae2854274c079a4a3306cd70d65a7e73476a3a2e6,Increasing number of active Easy Track motions run simultaneously,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/increasing-number-of-active-easy-track-motions-run-simultaneously/4075,1678820328,1679425200,2023-03-21T19:00:00+00:00,closed
lido-snapshot.eth,0xb28fe954f7b86f37a771b674da7578c1593414624fa02f09d87247ae2273c1d9,A proposal for partnering with Nethermind to design a mechanism for a good validator set maintenance. Phase II (restart),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/a-proposal-for-partnering-with-nethermind-to-design-a-mechanism-for-good-validator-set-maintenance-phase-2/3668/23,1678818977,1679425200,2023-03-21T19:00:00+00:00,closed
lido-snapshot.eth,0x4208b8d791cbf36721aa1e0776f9a96e305ceb0117b34265b376812e75cb0b2d,A proposal for partnering with Nethermind to design a mechanism for a good validator set maintenance. Phase II.,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/a-proposal-for-partnering-with-nethermind-to-design-a-mechanism-for-good-validator-set-maintenance-phase-2/3668/23,1677609532,1678212000,2023-03-07T18:00:00+00:00,closed
lido-snapshot.eth,0x629b547c688dea536a4a5c5b42274894ac068df0b0278d173b4d7a68c8c4281d,The Lido on Ethereum V2 upgrade,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/the-lido-on-ethereum-v2-upgrade/3800,1677606787,1678212000,2023-03-07T18:00:00+00:00,closed
lido-snapshot.eth,0xc00b48275e268f26b6cebf82322f281a44acaf679f6381dd612e278174671daf,Request to authorise a 22M LDO ceiling for a four year contributor Token Reward Plan (TRP),0x7FEa69d107A77B5817379d1254cc80D9671E171b,https://research.lido.fi/t/request-to-authorise-a-22m-ldo-ceiling-for-a-four-year-contributor-token-reward-plan-trp/3833,1675947987,1676574000,2023-02-16T19:00:00+00:00,closed
lido-snapshot.eth,0x3436b98afacec300ec2c0f79bb8dfd16685ececeeb7a45a18754d43b710179e8,Improving the incentive structure for the Lido on Polygon team (restart),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/improving-the-incentive-structure-for-the-lido-on-polygon-team/3240,1673441348,1674054000,2023-01-18T15:00:00+00:00,closed
lido-snapshot.eth,0x32f6f095dc4f7b97665b560781d6e6795da11f9c8218936a505575040038d70f,Lido on Polygon V2 upgrade (restart),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/lido-on-polygon-protocol-upgrade/3213,1673438636,1674054000,2023-01-18T15:00:00+00:00,closed
lido-snapshot.eth,0x7ac2431dc0eddcad4a02ba220a19f451ab6b064a0eaef961ed386dc573722a7f,Lido on Ethereum Block Proposer Rewards Policy 2.0 and Relay Maintenance Committee,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/discussion-draft-lido-on-ethereum-block-proposer-rewards-policy-2-0/3132/13,1671184864,1671811200,2022-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0x7f19fed19b66df88b45d64c22f9905fbf716839a5052fb79b10ee2ef1241645d, Referral Program for Ethereum - Final Reform,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/referral-program-for-ethereum-final-reform/3316,1670959473,1671552000,2022-12-20T16:00:00+00:00,closed
lido-snapshot.eth,0xcbf534335fe07c046caa933e1623ac38bfb3d1890ab825264a0b47415cf7799b,Expansion of Lido on Ethereum Oracle set,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/expansion-of-lidos-ethereum-oracle-set/2836,1670576760,1671206400,2022-12-16T16:00:00+00:00,closed
